Folder	Time Domain	HPS	FFT	Sample	Midi	HN Offset	Expected	TD	HPS	FFT	Praat	Average	Stdev	Use	Actual MIDI	+Cents	
/002931/Samples/Ch. Claribel Flute 8	MIDIPitchFraction=90.196737	MIDIPitchFraction=89.545883	MIDIPitchFraction=90.116240	MIDIKeyNumber=62	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	064-e.wav	064-e.wav	064-e.wav	MIDIPitchFraction=90.196737	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	Detected = 328.33 Hz	detected pitch = 164.18 Hz	detected pitch = 328.29 Hz	064-e.wav	64.00	0.00	329.63	328.33	328.36	328.29		328.326666666667	0.04	328.326666666667	63.9315408780024	6.84591219975701	
/002931/Samples/Ch. Claribel Flute 8	MIDIKeyNumber=63	MIDIKeyNumber=51	MIDIKeyNumber=63	Detected = 328.33 Hz	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	MIDIPitchFraction=93.155388	MIDIPitchFraction=93.319761	MIDIPitchFraction=92.948650	MIDIKeyNumber=63	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	065-f.wav	065-f.wav	065-f.wav	MIDIPitchFraction=93.155388	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	Detected = 346.82 Hz	detected pitch = 346.73 Hz	detected pitch = 346.82 Hz	065-f.wav	65.00	0.00	349.23	346.82	346.73	346.82		346.79	0.05	346.79	64.8787052880841	12.1294711915937	
/002931/Samples/Ch. Claribel Flute 8	MIDIKeyNumber=64	MIDIKeyNumber=64	MIDIKeyNumber=64	Detected = 346.82 Hz	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	MIDIPitchFraction=88.013543	MIDIPitchFraction=87.546870	MIDIPitchFraction=88.002461	MIDIKeyNumber=64	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	066-f#.wav	066-f#.wav	066-f#.wav	MIDIPitchFraction=88.013543	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	Detected = 370.67 Hz	detected pitch = 185.30 Hz	detected pitch = 370.63 Hz	066-f#.wav	66.00	0.00	369.99	370.67	370.60	370.63		370.633333333333	0.04	370.633333333333	66.0298693665731	-2.98693665731378	
/002931/Samples/Ch. Claribel Flute 8	MIDIKeyNumber=66	MIDIKeyNumber=54	MIDIKeyNumber=66	Detected = 370.67 Hz	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	MIDIPitchFraction=3.157590	MIDIPitchFraction=2.815888	MIDIPitchFraction=2.981435	MIDIKeyNumber=66	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	067-g.wav	067-g.wav	067-g.wav	MIDIPitchFraction=3.157590	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	Detected = 390.50 Hz	detected pitch = 195.36 Hz	detected pitch = 390.51 Hz	067-g.wav	67.00	0.00	392.00	390.50	390.72	390.51		390.576666666667	0.12	390.576666666667	66.9372268848128	6.27731151872411	
/002931/Samples/Ch. Claribel Flute 8	MIDIKeyNumber=66	MIDIKeyNumber=54	MIDIKeyNumber=66	Detected = 390.50 Hz	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
